respondent_id_number,number_of_children,age_of_respondent,highest_year_of_school_completed,highest_year_school_completed_father,highest_year_school_completed_mother,highest_year_school_completed_spouse,college_major_1,college_major_2,diploma_ged_or_other,respondents_sex,number_of_brothers_and_sisters,labor_force_status,number_of_hours_worked_last_week,number_of_hours_usually_work_a_week,self_emp_or_works_for_somebody,govt_or_private_employee,occupation_code,marital_status,marital_type,race_of_respondent,born_in_us,should_govt_reduce_income_differences,favor_or_oppose_death_penalty_for_murder,should_marijuana_be_made_legal,rs_religious_preference,specific_denomination,other_protestant_denominations,general_happiness,condition_of_health,is_life_exciting_or_dull,ballot_used_for_interview,parks_and_recreation,mass_transportation,number_of_persons_in_household,total_family_income,respondents_income,region_of_interview,size_of_place_in_1000s,political_party_affiliation,think_of_self_as_liberal_or_conservative,space_exploration_program,improving_protecting_environment,improving_protecting_nations_health,lived_in_us
299,0,31,20,20,20,NA,Education,NA,High school diploma,Female,1,Working fulltime,37,NA,Someone else,Government,Special education teachers,Never married,NA,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Pretty happy,Excellent,Routine,Ballot a,About right,About right,1,$25000 or more,$25000 or more,South Atlantic,27,Democrat,Moderate,Too much,Too little,Too little,NA
300,1,44,16,12,12,NA,English,NA,High school diploma,Female,1,Working fulltime,40,NA,Someone else,Private,"Meeting, convention, and event planners",Never married,NA,Black,Yes,5,Oppose,Legal,Protestant,No denomination,NA,Pretty happy,Excellent,Exciting,Ballot c,About right,About right,1,$25000 or more,$25000 or more,South Atlantic,27,NA,Moderate,NA,NA,NA,NA
301,1,46,16,12,11,16,Accounting/bookkeeping,NA,High school diploma,Female,3,Working fulltime,40,NA,Someone else,Government,Budget analysts,Married,Marriage between a man and a woman,Black,Yes,Govt reduce diff,Oppose,Not legal,Protestant,Baptist-dk which,NA,Very happy,NA,NA,Ballot b,Too little,About right,2,$25000 or more,$25000 or more,South Atlantic,27,Democrat,Slightly liberal,About right,Too little,About right,NA
302,2,56,13,14,12,16,NA,NA,High school diploma,Female,5,"Unempl, laid off",NA,NA,Someone else,Private,Tax preparers,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Not legal,Protestant,Baptist-dk which,NA,Pretty happy,Excellent,Routine,Ballot c,About right,Too little,2,Refused,$25000 or more,South Atlantic,27,NA,Extrmly conservative,NA,About right,Too little,NA
303,2,37,12,12,12,16,NA,NA,High school diploma,Male,1,Working fulltime,40,NA,Someone else,Private,Electricians,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,Protestant,Lutheran-dk which,NA,Very happy,Good,Exciting,Ballot a,Too little,Too little,4,Refused,$25000 or more,South Atlantic,4,Democrat,Moderate,NA,NA,NA,NA
304,1,52,20,12,14,NA,Education,Liberal arts,High school diploma,Female,1,Working fulltime,40,NA,Someone else,Government,Computer systems analysts,Divorced,NA,White,Yes,3,NA,Legal,Protestant,Presbyterian c in us,NA,Very happy,NA,NA,Ballot b,About right,Too little,1,$25000 or more,$25000 or more,South Atlantic,4,Independent,Liberal,NA,NA,NA,NA
305,3,69,14,7,7,13,NA,NA,High school diploma,Male,0,Working parttime,6,NA,Someone else,Private,Retail salespersons,Married,Marriage between a man and a woman,White,Yes,4,Favor,Legal,Protestant,United methodist,NA,Pretty happy,Good,Routine,Ballot c,About right,About right,2,$25000 or more,$4000 to 4999,South Atlantic,4,Independent,Moderate,NA,NA,NA,NA
306,2,34,12,8,NA,NA,NA,NA,High school diploma,Male,2,Working fulltime,60,NA,Self-employed,Private,"Architects, except naval",Separated,NA,Other,No,NA,Favor,NA,None,NA,NA,Very happy,Fair,Exciting,Ballot a,Too little,Too little,2,$25000 or more,$25000 or more,South Atlantic,4,NA,Liberal,NA,NA,NA,19
307,0,25,17,20,16,NA,Engineering,NA,High school diploma,Male,3,Working fulltime,40,NA,Someone else,Government,Postsecondary teachers,Never married,NA,White,Yes,5,Favor,Not legal,Protestant,Presbyterian-dk wh,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,4,Refused,Refused,South Atlantic,4,Independent,Conservative,About right,About right,About right,NA
308,0,33,8,NA,0,NA,NA,NA,NA,Male,7,Working fulltime,40,NA,Someone else,Private,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Never married,NA,Other,No,Govt reduce diff,NA,NA,None,NA,NA,Very happy,Good,Routine,Ballot c,Too little,About right,3,Refused,(Missing),South Atlantic,4,NA,Moderate,NA,NA,NA,8
309,2,45,12,12,12,NA,NA,NA,High school diploma,Female,5,Working fulltime,45,NA,Someone else,Private,Health practitioner support technologists and technicians,Divorced,NA,White,Yes,2,Favor,Legal,Protestant,United methodist,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$20000 - 24999,$20000 - 24999,South Atlantic,4,Republican,Moderate,NA,Too little,Too little,NA
310,3,57,16,12,12,19,Education,NA,High school diploma,Male,1,Retired,NA,NA,Someone else,Government,Air traffic controllers and airfield operations specialists,Married,Marriage between a man and a woman,White,Yes,2,Oppose,Legal,Protestant,United pres ch in us,NA,Very happy,Excellent,Routine,Ballot c,About right,Too little,4,Refused,Refused,South Atlantic,14,Independent,Slightly liberal,About right,Too little,Too little,NA
311,3,77,14,14,12,NA,NA,NA,High school diploma,Male,2,Retired,NA,NA,Someone else,Private,Broadcast and sound engineering technicians and radio,Divorced,NA,White,Yes,NA,Favor,NA,Protestant,United methodist,NA,Pretty happy,Good,Exciting,Ballot a,About right,Too little,1,$25000 or more,(Missing),South Atlantic,14,NA,Slghtly conservative,Too little,About right,About right,NA
312,3,29,16,16,16,NA,Engineering,NA,High school diploma,Male,0,Working fulltime,40,NA,Someone else,Private,"Software developers, applications and systems software",Never married,NA,Other,No,NA,Favor,NA,Protestant,Presbyterian-dk wh,NA,Pretty happy,Fair,Routine,Ballot a,Too little,Too much,1,$25000 or more,$25000 or more,South Atlantic,14,Independent,Moderate,NA,NA,NA,21
313,0,58,18,NA,12,NA,Engineering,NA,High school diploma,Male,3,Working fulltime,45,NA,Someone else,Private,Aerospace engineers,Widowed,NA,White,Yes,2,Oppose,Legal,Jewish,NA,NA,Very happy,Excellent,Exciting,Ballot c,Too little,Too little,2,Refused,Refused,South Atlantic,14,Democrat,Extremely liberal,Too little,Too little,Too little,NA
314,2,42,20,18,16,16,Engineering,Computer science,High school diploma,Male,1,Working fulltime,40,NA,Someone else,Private,"Engineering technicians, except drafters",Married,Marriage between a man and a woman,White,Yes,3,Oppose,Legal,None,NA,NA,Very happy,Good,Routine,Ballot c,Too little,Too little,2,$25000 or more,$25000 or more,South Atlantic,14,Independent,Slightly liberal,NA,NA,NA,NA
315,0,65,13,12,12,NA,NA,NA,High school diploma,Male,1,Working fulltime,35,NA,Someone else,Private,Reservation and transportation ticket agents and travel clerks,Divorced,NA,White,Yes,NA,Favor,NA,None,NA,NA,Not too happy,Excellent,Exciting,Ballot a,NA,Too little,1,$25000 or more,$25000 or more,South Atlantic,621,Democrat,Moderate,NA,Too little,Too little,NA
316,0,25,16,12,12,NA,Business administration,NA,High school diploma,Female,1,Working fulltime,45,NA,Someone else,Private,Receptionists and information clerks,Never married,NA,Black,Yes,6,Oppose,Legal,Christian,No denomination,NA,Not too happy,Fair,Exciting,Ballot c,Too little,About right,2,$25000 or more,$25000 or more,South Atlantic,621,Independent,Slghtly conservative,NA,NA,NA,NA
317,Eight or more,76,19,17,12,16,Physics,NA,High school diploma,Male,1,Retired,NA,NA,Someone else,Private,"Managers, all other",Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Jewish,NA,NA,Very happy,Excellent,Routine,Ballot a,About right,Too little,2,$25000 or more,(Missing),South Atlantic,621,Independent,Conservative,NA,NA,NA,NA
318,5,73,12,NA,12,NA,NA,NA,Ged,Female,5,Keeping house,NA,NA,Someone else,Government,Cooks,Widowed,NA,Black,Yes,No govt action,Favor,Not legal,Protestant,Baptist-dk which,NA,Not too happy,NA,NA,Ballot b,Too little,About right,2,$25000 or more,(Missing),South Atlantic,621,Democrat,Slghtly conservative,NA,NA,NA,NA
319,5,34,20,20,16,20,Education,NA,High school diploma,Female,6,Working fulltime,35,NA,Someone else,Government,Special education teachers,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Not legal,Jewish,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too much,2,$25000 or more,$25000 or more,South Atlantic,621,Republican,Conservative,About right,Too much,Too little,NA
320,2,51,12,NA,12,12,NA,NA,High school diploma,Male,6,Working fulltime,70,NA,Someone else,Private,Broadcast and sound engineering technicians and radio,Married,Marriage between a man and a woman,Black,Yes,NA,Oppose,NA,Christian,No denomination,NA,Very happy,Excellent,Routine,Ballot a,Too little,About right,2,$25000 or more,$25000 or more,South Atlantic,10,Democrat,Conservative,NA,NA,NA,NA
321,3,78,14,NA,12,16,NA,NA,High school diploma,Female,1,Keeping house,NA,NA,Someone else,Private,Dental assistants,Married,Marriage between a man and a woman,White,Yes,5,Favor,Not legal,Catholic,NA,NA,Pretty happy,Fair,Routine,Ballot c,About right,About right,2,$20000 - 24999,(Missing),South Atlantic,10,NA,Conservative,About right,Too much,About right,NA
322,3,53,12,NA,12,12,NA,NA,High school diploma,Male,3,Working parttime,30,NA,Someone else,Private,Taxi drivers and chauffeurs,Married,Marriage between a man and a woman,Black,Yes,NA,Oppose,NA,Protestant,Baptist-dk which,NA,Very happy,Good,Routine,Ballot a,Too little,About right,3,$25000 or more,$8000 to 9999,South Atlantic,10,Independent,Liberal,NA,Too little,Too little,NA
323,7,83,11,NA,NA,12,NA,NA,NA,Male,19,Retired,NA,NA,Someone else,Private,Miscellaneous agricultural workers,Married,Marriage between a man and a woman,Black,Yes,NA,Oppose,NA,Protestant,Methodist-dk which,NA,Very happy,Good,Routine,Ballot a,NA,About right,2,$25000 or more,(Missing),South Atlantic,10,Democrat,(Missing),NA,NA,NA,NA
324,1,58,7,NA,11,NA,NA,NA,NA,Female,7,Other,NA,NA,NA,NA,NA,Never married,NA,Black,Yes,No govt action,Favor,Not legal,Protestant,Baptist-dk which,NA,Pretty happy,Fair,Routine,Ballot c,Too little,Too much,4,$10000 - 14999,(Missing),South Atlantic,10,Democrat,Conservative,About right,Too little,Too little,NA
325,4,73,12,NA,NA,NA,NA,NA,NA,Male,10,Retired,NA,NA,Someone else,Private,Construction laborers,Widowed,NA,Black,Yes,4,Favor,Not legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too much,Too much,3,(Missing),(Missing),South Atlantic,10,NA,Moderate,Too much,About right,About right,NA
326,4,83,10,NA,8,NA,NA,NA,High school diploma,Female,6,Retired,NA,NA,Someone else,Private,Sewing machine operators,Widowed,NA,White,No,Govt reduce diff,Favor,Not legal,Catholic,NA,NA,Not too happy,NA,NA,Ballot b,Too little,About right,1,$1000 to 2999,(Missing),South Atlantic,71,Republican,Extrmly conservative,NA,About right,Too little,28
327,Eight or more,86,12,NA,NA,NA,NA,NA,High school diploma,Male,3,Retired,NA,NA,Someone else,Private,Control and valve installers and repairers,Separated,NA,Black,No,NA,Oppose,NA,Protestant,Episcopal,NA,Not too happy,Poor,Dull,Ballot a,Too little,Too little,1,$20000 - 24999,(Missing),South Atlantic,71,Independent,Moderate,NA,NA,NA,48
328,0,70,14,NA,NA,NA,NA,NA,Ged,Female,6,Other,NA,NA,Someone else,Government,Police and sheriff's patrol officers,Widowed,NA,Other,Yes,4,Oppose,Legal,Protestant,Other,Pentecostal,Pretty happy,Fair,Routine,Ballot c,Too little,Too much,1,$20000 - 24999,(Missing),South Atlantic,71,Democrat,Moderate,Too much,Too little,Too little,NA
329,0,31,17,NA,12,NA,NA,NA,High school diploma,Female,3,Keeping house,NA,NA,Someone else,Government,Elementary and middle school teachers,Never married,NA,Black,Yes,2,Oppose,NA,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,2,$25000 or more,(Missing),South Atlantic,71,Democrat,Liberal,NA,Too little,Too little,NA
330,0,24,16,NA,16,NA,Biology,NA,High school diploma,Female,1,School,NA,NA,Someone else,Government,Secretaries and administrative assistants,Never married,NA,Black,Yes,4,Oppose,Legal,Protestant,No denomination,NA,Very happy,Excellent,Exciting,Ballot c,About right,About right,2,$25000 or more,$4000 to 4999,South Atlantic,71,Democrat,Slightly liberal,About right,Too little,Too little,NA
331,0,42,14,20,16,NA,Gerontology,NA,High school diploma,Male,2,Working fulltime,45,NA,Self-employed,Private,"Nursing, psychiatric, and home health aides",Never married,NA,White,Yes,Govt reduce diff,NA,Legal,Protestant,Other,"Unitarian, Universalist",Pretty happy,NA,NA,Ballot b,Too little,Too little,2,$25000 or more,$15000 - 19999,South Atlantic,71,Democrat,Liberal,NA,NA,NA,NA
332,0,34,16,18,16,16,Political science/international relations,Foreign language,High school diploma,Female,0,Working fulltime,40,NA,Someone else,Government,"Judges, magistrates, and other judicial workers",Married,Marriage between a man and a woman,White,Yes,Govt reduce diff,Oppose,Legal,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot c,Too little,Too little,2,Refused,$25000 or more,South Atlantic,71,Democrat,Liberal,NA,NA,NA,NA
333,3,70,19,14,6,NA,Anthropolgy,Human services/human resources,High school diploma,Female,12,School,NA,NA,Someone else,Private,Chefs and head cooks,Divorced,NA,White,No,3,Oppose,Not legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,1,Refused,(Missing),South Atlantic,71,NA,Moderate,About right,Too much,Too little,15
334,2,37,12,NA,14,NA,NA,NA,High school diploma,Female,1,Keeping house,NA,NA,Someone else,Private,7270,Never married,NA,White,Yes,5,Favor,Legal,Protestant,No denomination,NA,Pretty happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,$25000 or more,South Atlantic,7,Independent,Extremely liberal,NA,NA,NA,NA
335,2,70,18,14,12,19,Pharmacy,NA,High school diploma,Male,0,Retired,NA,NA,Someone else,Government,Pharmacists,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,United methodist,NA,Very happy,Excellent,Exciting,Ballot a,Too little,About right,2,$25000 or more,$25000 or more,South Atlantic,7,NA,Extrmly conservative,NA,NA,NA,NA
336,2,71,12,5,10,12,NA,NA,Ged,Male,7,Retired,NA,NA,Someone else,Private,Chief executives,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,United methodist,NA,Pretty happy,Good,Routine,Ballot a,About right,Too little,2,$25000 or more,(Missing),South Atlantic,7,Republican,Moderate,Too much,About right,Too little,NA
337,0,26,16,16,16,NA,Political science/international relations,NA,High school diploma,Female,1,Working fulltime,60,NA,Someone else,Government,"Office and administrative support workers, all other",Never married,NA,White,Yes,6,Favor,Not legal,Protestant,Episcopal,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,1,$25000 or more,$25000 or more,South Atlantic,602,Republican,Slghtly conservative,NA,NA,NA,NA
338,4,54,16,16,16,16,Social sciences,NA,High school diploma,Male,2,Working fulltime,60,NA,Someone else,Private,Chief executives,Married,Marriage between a man and a woman,White,Yes,2,Oppose,Not legal,Jewish,NA,NA,Very happy,Excellent,Exciting,Ballot c,Too little,Too little,4,Refused,Refused,South Atlantic,602,Democrat,Slightly liberal,NA,NA,NA,NA
339,2,40,16,16,18,16,Environmental science/ecology,NA,High school diploma,Female,1,Working fulltime,40,NA,Someone else,Government,Lawyers,Married,Marriage between a man and a woman,White,Yes,2,Oppose,Legal,Protestant,Other,United Church of Christ,Pretty happy,Good,Exciting,Ballot c,Too little,Too little,2,Refused,$25000 or more,South Atlantic,602,Independent,Slightly liberal,About right,Too little,Too little,NA
340,0,56,16,15,NA,NA,English,Journalism,High school diploma,Female,3,Working fulltime,50,NA,Someone else,Private,Real estate brokers and sales agents,Divorced,NA,White,Yes,5,Favor,Legal,Catholic,NA,NA,Very happy,NA,NA,Ballot b,About right,Too little,1,Refused,Refused,South Atlantic,602,Independent,Conservative,NA,NA,NA,NA
341,3,60,20,14,14,NA,82,NA,High school diploma,Male,3,Working fulltime,40,NA,Someone else,Private,Miscellaneous legal support workers,Widowed,NA,White,Yes,5,Favor,Not legal,Catholic,NA,NA,Pretty happy,Fair,Routine,Ballot c,About right,About right,1,$25000 or more,$25000 or more,South Atlantic,602,Republican,Conservative,NA,NA,NA,NA
342,0,72,16,15,16,16,Political science/international relations,NA,High school diploma,Male,1,Working fulltime,NA,NA,Someone else,Private,"News analysts, reporters and correspondents",Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,None,NA,NA,Pretty happy,Good,Exciting,Ballot a,Too little,Too little,2,Refused,$3000 to 3999,South Atlantic,602,NA,(Missing),NA,NA,NA,NA
343,2,35,16,14,16,20,English,Chemistry,High school diploma,Female,3,Working fulltime,40,NA,Someone else,Private,Technical writers,Married,Marriage between a man and a woman,Black,Yes,4,Oppose,Not legal,Protestant,Other,Pentecostal,Very happy,Excellent,Exciting,Ballot c,About right,Too little,2,Refused,$25000 or more,South Atlantic,16,NA,Slghtly conservative,About right,Too little,Too little,NA
344,4,55,18,NA,18,16,Law enforcement,NA,High school diploma,Male,1,Working fulltime,40,NA,Self-employed,Private,"Managers, all other",Married,Marriage between a man and a woman,White,Yes,6,Oppose,Not legal,Catholic,NA,NA,Very happy,NA,NA,Ballot b,About right,About right,3,Refused,Refused,South Atlantic,16,NA,Conservative,NA,NA,NA,NA
345,3,28,14,16,16,14,Nursing,NA,High school diploma,Female,6,School,NA,NA,Someone else,Private,Licensed practical and licensed vocational nurses,Married,Marriage between a man and a woman,Black,No,NA,Favor,NA,Protestant,Other baptists,NA,Very happy,Excellent,Exciting,Ballot a,About right,About right,2,$25000 or more,$25000 or more,South Atlantic,16,Democrat,Liberal,About right,About right,About right,17
346,5,77,13,NA,12,NA,NA,NA,High school diploma,Female,0,Other,NA,NA,Someone else,Private,Bus drivers,Divorced,NA,White,Yes,4,Favor,Legal,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot c,Too little,About right,1,$8000 to 9999,(Missing),South Atlantic,16,Democrat,Moderate,NA,NA,NA,NA
347,2,30,12,NA,12,NA,NA,NA,High school diploma,Female,3,Working fulltime,40,NA,Someone else,Private,Medical assistants,Never married,NA,Black,Yes,5,Oppose,Not legal,Protestant,Baptist-dk which,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,2,Refused,$25000 or more,South Atlantic,16,Democrat,Moderate,NA,About right,Too little,NA
348,3,67,12,5,7,NA,NA,NA,High school diploma,Female,3,Retired,NA,NA,Someone else,Private,Secretaries and administrative assistants,Widowed,NA,White,Yes,NA,Favor,NA,Protestant,United methodist,NA,Pretty happy,Poor,Routine,Ballot a,Too little,About right,1,$15000 - 19999,(Missing),South Atlantic,16,Independent,Moderate,NA,NA,NA,NA
